file,code_summary,label,verified
https://github.com/HasinthakaPiyumal/AI-Pattern-Mining-Project/tree/main/notebooks/result/repo_callgraph_clusters/3DOD_thesis/cluster_0.py,"This code implements a data pipeline for 3D object detection, specifically following the Frustum PointNet pattern. It processes LiDAR point clouds by projecting them into 2D image bounding box frustums, then transforms and normalizes these frustums into a canonical coordinate space. This pipeline generates comprehensive multi-task labels, including instance segmentation masks, 3D bounding box parameters (center, dimensions, binned orientation with residual), and 3D corner coordinates, suitable for training a robust 3D detector.",LLM-based Multimodal Generative Prompting,True
https://github.com/HasinthakaPiyumal/AI-Pattern-Mining-Project/tree/main/notebooks/result/repo_callgraph_clusters/3DOD_thesis/cluster_1.py,"This code implements a 3D object pose estimation pipeline, where a `BoxRegressor` refines 3D bounding box parameters (size, position, orientation) using least-squares optimization. It minimizes residuals between projected 3D keypoints and predicted 2D keypoints, incorporating regularization for size and distance. Furthermore, PyTorch `Dataset` classes prepare and augment image data, applying random 2D bounding box transformations, horizontal flipping, and normalization of image pixels and 3D labels for robust deep learning model training and evaluation.",none,True
https://github.com/HasinthakaPiyumal/AI-Pattern-Mining-Project/tree/main/notebooks/result/repo_callgraph_clusters/3DOD_thesis/cluster_10.py,"This code defines data pipelines for 3D object detection, preparing inputs and ground truth for both frustum-based and image-based AI models. It showcases patterns like frustum generation, point cloud sampling and canonicalization for 3D networks, alongside image cropping and normalization for 2D CNNs. The pipelines generate diverse regression targets, including instance segmentation masks, 3D bounding box parameters (center, dimensions, orientation bins/residuals), and 2D projected 3D keypoints.",LLM-based Multimodal Generative Prompting,True
https://github.com/HasinthakaPiyumal/AI-Pattern-Mining-Project/tree/main/notebooks/result/repo_callgraph_clusters/3DOD_thesis/cluster_2.py,"This code implements a recursive pattern for **structured data mapping**, transforming a flat sequence of values into a hierarchical dictionary based on a predefined key schema. This pattern is fundamental in AI for tasks such as **configuration parsing** (e.g., loading hyperparameters or model architectures) or **feature engineering**, where raw sequential data needs to be organized into a meaningful, nested representation for model input or output interpretation.",,False
https://github.com/HasinthakaPiyumal/AI-Pattern-Mining-Project/tree/main/notebooks/result/repo_callgraph_clusters/3DOD_thesis/cluster_3.py,"This code implements an **angular discretization** pattern, specifically **binning**, by mapping a continuous angle into one of four discrete categories. This serves as a **feature engineering** step, transforming raw angular data into a quantized representation suitable for histogram-based features or models requiring discrete inputs.",Preprocessing Text and Numerical Data,True
https://github.com/HasinthakaPiyumal/AI-Pattern-Mining-Project/tree/main/notebooks/result/repo_callgraph_clusters/3DOD_thesis/cluster_4.py,"This code defines a PyTorch Dataset for 3D object detection, specifically preparing augmented frustum point clouds from the KITTI dataset for models like Frustum PointNet. It performs extensive data augmentation, including 2D bounding box jittering, frustum alignment, random Z-shift, horizontal flipping, and object-centric rotation of ground truth points. The dataset outputs sampled point clouds, instance segmentation masks, and multi-component 3D bounding box labels (center, dimensions, orientation bin/residual, corners) for robust training.",none,True
https://github.com/HasinthakaPiyumal/AI-Pattern-Mining-Project/tree/main/notebooks/result/repo_callgraph_clusters/3DOD_thesis/cluster_5.py,"This code implements a specialized data loading and preprocessing pipeline for 3D object detection, following the Frustum PointNet pattern. It integrates multi-modal sensor data by projecting LiDAR point clouds into camera coordinates and extracting 3D frustums based on 2D image bounding boxes. The pipeline incorporates extensive data augmentation, including 2D bounding box jittering, point cloud Z-shifting, and horizontal flipping, alongside coordinate system normalization and orientation binning for robust 3D pose estimation and instance segmentation.",none,True
https://github.com/HasinthakaPiyumal/AI-Pattern-Mining-Project/tree/main/notebooks/result/repo_callgraph_clusters/3DOD_thesis/cluster_6.py,"This code snippet defines a **binning strategy** that transforms a numerical `bin_number` into a central angular value. It performs **feature engineering** by scaling the bin number by `(np.pi / 2)` and wrapping it to a periodic domain, likely for representing data in a circular space. The strict dependency on `NH == 4` indicates a **fixed parameterization** or a specific model configuration where the data space is divided into four bins.",,False
https://github.com/HasinthakaPiyumal/AI-Pattern-Mining-Project/tree/main/notebooks/result/repo_callgraph_clusters/3DOD_thesis/cluster_7.py,"This code demonstrates a pattern for discretizing continuous angular data into a fixed number of bins, specifically four (NH=4), and normalizing these bin centers to the `[-pi, pi]` range. This angular discretization is a fundamental AI pattern used for state-space representation in reinforcement learning or for feature engineering from periodic observations.",,False
https://github.com/HasinthakaPiyumal/AI-Pattern-Mining-Project/tree/main/notebooks/result/repo_callgraph_clusters/3DOD_thesis/cluster_8.py,"This code implements a robust data pipeline for 3D object detection, primarily utilizing frustum-based point cloud processing and 2D image-based 3D estimation. It integrates multi-modal data (LiDAR point clouds, 2D images, and 2D/3D labels) through complex geometric transformations, including frustum cropping, point cloud sampling, and coordinate system alignment. Extensive data augmentation, such as random shifts, flips, and rotations on point clouds and 2D bounding boxes, is applied to generate diverse training examples for robust 3D object property prediction.",LLM-based Multimodal Generative Prompting,True
https://github.com/HasinthakaPiyumal/AI-Pattern-Mining-Project/tree/main/notebooks/result/repo_callgraph_clusters/3DOD_thesis/cluster_9.py,"This code implements a data pipeline for 3D object detection and tracking, primarily utilizing the KITTI dataset. It employs a frustum-based approach, projecting 3D LiDAR point clouds into 2D image bounding boxes to extract relevant 3D points. These frustum point clouds undergo critical preprocessing steps such as coordinate transformation, centering, and fixed-size sampling, alongside standard ImageNet normalization for corresponding 2D image crops, preparing multi-modal inputs for deep learning models.",LLM-based Multimodal Generative Prompting,True
https://github.com/HasinthakaPiyumal/AI-Pattern-Mining-Project/tree/main/notebooks/result/repo_callgraph_clusters/AIlice/cluster_0.py,"This code demonstrates patterns for hardware-accelerated AI model deployment, specifically configuring `llama-cpp-python`. It automatically detects and sets build arguments to leverage NVIDIA (CUDA), AMD (ROCm/HIPBLAS), or Vulkan-compatible hardware. This enables optimized local inference of large language models by tailoring the underlying `llama.cpp` library to the available compute resources.",MLOps,True
https://github.com/HasinthakaPiyumal/AI-Pattern-Mining-Project/tree/main/notebooks/result/repo_callgraph_clusters/AIlice/cluster_1.py,"This code defines a multi-agent AI system where a central `AProcessor` orchestrates specialized prompts, such as `APromptChat`, `APromptCoder`, and `APromptSearchEngine`, to handle diverse tasks. It extensively utilizes external tools and services, including search engines, code interpreters, and a vector database for retrieval-augmented generation, to extend its capabilities. The system supports a dynamic, conversational user experience, further enhanced by integrated multimodal speech recognition and text-to-speech modules.",Agent Architecture,True
https://github.com/HasinthakaPiyumal/AI-Pattern-Mining-Project/tree/main/notebooks/result/repo_callgraph_clusters/AIlice/cluster_10.py,"This code implements a robust AI configuration management pattern, allowing users to define and dynamically update settings for various AI models and providers (e.g., OpenAI, Groq, Anthropic) including agent-specific configurations, temperature, and context window ratios. It further employs a session management pattern to encapsulate individual AI interaction flows, providing lifecycle control (create, load, delete) and maintaining conversational history. A state machine governs the user context's readiness and release, ensuring structured and personalized AI engagements.",Model Abstraction,True
