file,code_summary,label
https://github.com/HasinthakaPiyumal/AI-Pattern-Mining-Project/tree/main/notebooks/result/ms_repo_callgraph_clusters/train-ticket_java/cluster_81.java,"This Java file is a JUnit 4 test class (`VerifyCodeServiceImplTest`) that unit tests the `VerifyCodeServiceImpl`. It utilizes anonymous inner classes to mock `HttpServletRequest` and `HttpServletResponse` objects, providing minimal implementations that mostly return nulls, to verify the functionality of `getImageCode` and `verifyCode` methods.",Other
https://github.com/HasinthakaPiyumal/AI-Pattern-Mining-Project/tree/main/notebooks/result/ms_repo_callgraph_clusters/train-ticket_java/cluster_23.java,"This Spring Boot `@ConfigurationProperties` class externalizes configuration for Spring Cloud Sleuth, specifically allowing users to enable/disable Sleuth and configure the use of 128-bit trace IDs via `spring.sleuth.enabled` and `spring.sleuth.traceId128` properties.",Other
https://github.com/HasinthakaPiyumal/AI-Pattern-Mining-Project/tree/main/notebooks/result/ms_repo_callgraph_clusters/train-ticket_java/cluster_20.java,"This code defines a `User` JPA entity that implements Spring Security's `UserDetails` for persistent user management, including roles. It also provides a `JWTUtil` class responsible for validating and parsing JWTs to extract user details and create Spring Security `Authentication` objects for token-based authentication.",Microservices Security
https://github.com/HasinthakaPiyumal/AI-Pattern-Mining-Project/tree/main/notebooks/result/ms_repo_callgraph_clusters/train-ticket_java/cluster_172.java,"This code defines a custom Spring `AsyncConfigurer` (`LTACus`) that acts as a decorator, primarily to instrument or customize the `Executor` used for `@Async` methods. It wraps the delegate's `Executor` with a new `LTExec` instance, likely for monitoring or tracing, while delegating the `AsyncUncaughtExceptionHandler` directly.",Microservices Observerbility
https://github.com/HasinthakaPiyumal/AI-Pattern-Mining-Project/tree/main/notebooks/result/ms_repo_callgraph_clusters/train-ticket_java/cluster_156.java,"This code configures a Spring AOP advisor and interceptor to enable distributed tracing. It automatically creates or continues tracing spans, logs events, and adds tags for methods, classes, or arguments annotated with `@NewSpan` or `@ContinueSpan`, integrating with a `Chainer` for monitoring.",Microservices Observerbility
https://github.com/HasinthakaPiyumal/AI-Pattern-Mining-Project/tree/main/notebooks/result/ms_repo_callgraph_clusters/train-ticket_java/cluster_134.java,"The `ChainKeys` class is a Spring Boot `@ConfigurationProperties` component that centralizes and allows customization of the default keys/tags used by Spring Cloud Sleuth for distributed tracing. It defines specific string keys for various monitoring contexts, including HTTP requests, messages, Hystrix commands, asynchronous operations, and MVC controllers.",Other
https://github.com/HasinthakaPiyumal/AI-Pattern-Mining-Project/tree/main/notebooks/result/ms_repo_callgraph_clusters/train-ticket_java/cluster_130.java,"This Spring Boot `@ConfigurationProperties` class (`spring.sleuth.keys`) serves as a central configuration point for defining default string keys used in various monitoring contexts like HTTP, Message, Hystrix, Async, and MVC. It organizes these keys using nested static classes, enabling customization for a distributed tracing system like Spring Cloud Sleuth.",Other
https://github.com/HasinthakaPiyumal/AI-Pattern-Mining-Project/tree/main/notebooks/result/ms_repo_callgraph_clusters/spring-petclinic_java/cluster_17.java,"This file is an integration test suite for the Spring PetClinic application's data access layer. It uses Spring Boot's `@DataJpaTest` to verify CRUD operations and data retrieval for `Owner`, `Pet`, `PetType`, `Vet`, and `Visit` entities, ensuring the correct functionality of the repository interfaces and transactional behavior.",Microservices Test
https://github.com/HasinthakaPiyumal/AI-Pattern-Mining-Project/tree/main/notebooks/result/ms_repo_callgraph_clusters/spring-petclinic_java/cluster_16.java,"This code defines a Spring `Validator` for `Pet` objects, specifically validating form data by ensuring the `name`, `type` (for new pets), and `birthDate` fields are present. It explicitly implements the `Validator` interface to apply these rules, opting for programmatic validation over Bean Validation annotations.",Other
https://github.com/HasinthakaPiyumal/AI-Pattern-Mining-Project/tree/main/notebooks/result/ms_repo_callgraph_clusters/spring-boot-based-microservices_java/cluster_22.java,"This Spring Boot REST controller, `MetricsController`, provides endpoints under `/api/metrics` specifically for manual testing of custom Micrometer metrics (request counter and timer) and various error handling scenarios, including simulated delays, runtime exceptions, and HTTP status exceptions. It initializes custom metrics using `@PostConstruct` and demonstrates logging at different levels.",Other
